GEO_ID_NEW,GEO_ID,NAME,B01003_001E,B01003_001M
53011041321,1400000US53011041321,"Census Tract 413.21, Clark County, Washington",2843,314
53011041322,1400000US53011041322,"Census Tract 413.22, Clark County, Washington",4907,341
53011041323,1400000US53011041323,"Census Tract 413.23, Clark County, Washington",5631,465
53011041325,1400000US53011041325,"Census Tract 413.25, Clark County, Washington",5489,245
53011041326,1400000US53011041326,"Census Tract 413.26, Clark County, Washington",2464,176
53011041327,1400000US53011041327,"Census Tract 413.27, Clark County, Washington",8426,432
53011041328,1400000US53011041328,"Census Tract 413.28, Clark County, Washington",6066,318
53011041329,1400000US53011041329,"Census Tract 413.29, Clark County, Washington",4822,277
53011041330,1400000US53011041330,"Census Tract 413.30, Clark County, Washington",4562,392
53011041331,1400000US53011041331,"Census Tract 413.31, Clark County, Washington",2858,225
53011041332,1400000US53011041332,"Census Tract 413.32, Clark County, Washington",3746,211
53011041333,1400000US53011041333,"Census Tract 413.33, Clark County, Washington",3264,257
53011041400,1400000US53011041400,"Census Tract 414, Clark County, Washington",5711,272
53011041500,1400000US53011041500,"Census Tract 415, Clark County, Washington",3155,252
53011041600,1400000US53011041600,"Census Tract 416, Clark County, Washington",3492,340
53011041700,1400000US53011041700,"Census Tract 417, Clark County, Washington",3792,309
53011041800,1400000US53011041800,"Census Tract 418, Clark County, Washington",3947,407
53011041900,1400000US53011041900,"Census Tract 419, Clark County, Washington",2045,161
53011042000,1400000US53011042000,"Census Tract 420, Clark County, Washington",1827,130
53011042100,1400000US53011042100,"Census Tract 421, Clark County, Washington",3045,299
53011042300,1400000US53011042300,"Census Tract 423, Clark County, Washington",2970,150
53011042400,1400000US53011042400,"Census Tract 424, Clark County, Washington",2266,246
53011042500,1400000US53011042500,"Census Tract 425, Clark County, Washington",1266,107
53011042600,1400000US53011042600,"Census Tract 426, Clark County, Washington",5226,434
53011042700,1400000US53011042700,"Census Tract 427, Clark County, Washington",4779,405
53011042800,1400000US53011042800,"Census Tract 428, Clark County, Washington",3249,184
53011042900,1400000US53011042900,"Census Tract 429, Clark County, Washington",1731,140
53011043000,1400000US53011043000,"Census Tract 430, Clark County, Washington",1879,130
53011043100,1400000US53011043100,"Census Tract 431, Clark County, Washington",4187,322
53013960200,1400000US53013960200,"Census Tract 9602, Columbia County, Washington",4001,*****
53015000300,1400000US53015000300,"Census Tract 3, Cowlitz County, Washington",556,90
53015000400,1400000US53015000400,"Census Tract 4, Cowlitz County, Washington",3837,333
53015000501,1400000US53015000501,"Census Tract 5.01, Cowlitz County, Washington",2899,274
53015000502,1400000US53015000502,"Census Tract 5.02, Cowlitz County, Washington",4903,435
53015000601,1400000US53015000601,"Census Tract 6.01, Cowlitz County, Washington",3735,314
53015000602,1400000US53015000602,"Census Tract 6.02, Cowlitz County, Washington",2966,214
53015000702,1400000US53015000702,"Census Tract 7.02, Cowlitz County, Washington",3089,285
53015000703,1400000US53015000703,"Census Tract 7.03, Cowlitz County, Washington",1525,132
53015000704,1400000US53015000704,"Census Tract 7.04, Cowlitz County, Washington",7474,546
53015000800,1400000US53015000800,"Census Tract 8, Cowlitz County, Washington",6957,489
53015000900,1400000US53015000900,"Census Tract 9, Cowlitz County, Washington",7425,473
53015001000,1400000US53015001000,"Census Tract 10, Cowlitz County, Washington",1106,199
53015001100,1400000US53015001100,"Census Tract 11, Cowlitz County, Washington",5872,472
53015001200,1400000US53015001200,"Census Tract 12, Cowlitz County, Washington",4243,334
53015001300,1400000US53015001300,"Census Tract 13, Cowlitz County, Washington",3884,313
53015001501,1400000US53015001501,"Census Tract 15.01, Cowlitz County, Washington",3140,280
53015001502,1400000US53015001502,"Census Tract 15.02, Cowlitz County, Washington",8189,500
53015001600,1400000US53015001600,"Census Tract 16, Cowlitz County, Washington",6532,518
53015001700,1400000US53015001700,"Census Tract 17, Cowlitz County, Washington",5187,358
53015001800,1400000US53015001800,"Census Tract 18, Cowlitz County, Washington",1701,284
53015001900,1400000US53015001900,"Census Tract 19, Cowlitz County, Washington",5713,769
53015002001,1400000US53015002001,"Census Tract 20.01, Cowlitz County, Washington",3464,300
53015002002,1400000US53015002002,"Census Tract 20.02, Cowlitz County, Washington",6516,552
53015002100,1400000US53015002100,"Census Tract 21, Cowlitz County, Washington",4199,390
53017950100,1400000US53017950100,"Census Tract 9501, Douglas County, Washington",6110,422
53017950200,1400000US53017950200,"Census Tract 9502, Douglas County, Washington",2843,287
53017950300,1400000US53017950300,"Census Tract 9503, Douglas County, Washington",6917,516
53017950400,1400000US53017950400,"Census Tract 9504, Douglas County, Washington",7772,526
53017950500,1400000US53017950500,"Census Tract 9505, Douglas County, Washington",2881,325
53017950600,1400000US53017950600,"Census Tract 9506, Douglas County, Washington",4262,316
53017950700,1400000US53017950700,"Census Tract 9507, Douglas County, Washington",4818,332
53017950800,1400000US53017950800,"Census Tract 9508, Douglas County, Washington",5768,481
53019940000,1400000US53019940000,"Census Tract 9400, Ferry County, Washington",1545,143
53019970100,1400000US53019970100,"Census Tract 9701, Ferry County, Washington",2998,221
53019970200,1400000US53019970200,"Census Tract 9702, Ferry County, Washington",3033,217
53021020100,1400000US53021020100,"Census Tract 201, Franklin County, Washington",10979,730
53021020200,1400000US53021020200,"Census Tract 202, Franklin County, Washington",6714,567
53021020300,1400000US53021020300,"Census Tract 203, Franklin County, Washington",5705,485
53021020400,1400000US53021020400,"Census Tract 204, Franklin County, Washington",8702,740
53021020501,1400000US53021020501,"Census Tract 205.01, Franklin County, Washington",5140,361
53021020502,1400000US53021020502,"Census Tract 205.02, Franklin County, Washington",9790,656
53021020601,1400000US53021020601,"Census Tract 206.01, Franklin County, Washington",11238,688
53021020603,1400000US53021020603,"Census Tract 206.03, Franklin County, Washington",3835,325
53021020605,1400000US53021020605,"Census Tract 206.05, Franklin County, Washington",9065,623
53021020606,1400000US53021020606,"Census Tract 206.06, Franklin County, Washington",8148,537
53021020700,1400000US53021020700,"Census Tract 207, Franklin County, Washington",1340,182
53021020800,1400000US53021020800,"Census Tract 208, Franklin County, Washington",10004,597
53021980100,1400000US53021980100,"Census Tract 9801, Franklin County, Washington",0,12
53023970300,1400000US53023970300,"Census Tract 9703, Garfield County, Washington",2224,*****
53025010100,1400000US53025010100,"Census Tract 101, Grant County, Washington",3654,347
53025010200,1400000US53025010200,"Census Tract 102, Grant County, Washington",3162,358
53025010300,1400000US53025010300,"Census Tract 103, Grant County, Washington",4075,434
53025010400,1400000US53025010400,"Census Tract 104, Grant County, Washington",8072,264
53025010500,1400000US53025010500,"Census Tract 105, Grant County, Washington",3134,421
53025010600,1400000US53025010600,"Census Tract 106, Grant County, Washington",7757,176
53025010700,1400000US53025010700,"Census Tract 107, Grant County, Washington",3009,331
53025010800,1400000US53025010800,"Census Tract 108, Grant County, Washington",4605,418
53025010901,1400000US53025010901,"Census Tract 109.01, Grant County, Washington",1572,229
53025010902,1400000US53025010902,"Census Tract 109.02, Grant County, Washington",10404,976
53025011000,1400000US53025011000,"Census Tract 110, Grant County, Washington",12352,909
53025011100,1400000US53025011100,"Census Tract 111, Grant County, Washington",7799,663
53025011200,1400000US53025011200,"Census Tract 112, Grant County, Washington",5665,520
53025011300,1400000US53025011300,"Census Tract 113, Grant County, Washington",3691,176
53025011401,1400000US53025011401,"Census Tract 114.01, Grant County, Washington",2486,369
53025011402,1400000US53025011402,"Census Tract 114.02, Grant County, Washington",13423,1247
53027000200,1400000US53027000200,"Census Tract 2, Grays Harbor County, Washington",7509,579
53027000300,1400000US53027000300,"Census Tract 3, Grays Harbor County, Washington",3176,272
53027000400,1400000US53027000400,"Census Tract 4, Grays Harbor County, Washington",6738,548
